epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26855.5,1.01074,0.77448,1.26293,0.88417,0.82858,0.9117,0.69601,0.90409,0.60369,1.18735,0.0032155,0.0032155,0.0032155
43,27509.7,1.01019,0.77244,1.26285,0.87402,0.83252,0.91099,0.69952,0.90173,0.60204,1.18511,0.00314051,0.00314051,0.00314051
44,28145.5,1.00283,0.76287,1.25808,0.88397,0.83543,0.91501,0.70095,0.90087,0.58699,1.18773,0.0030649,0.0030649,0.0030649
45,28813.2,1.0009,0.76636,1.25575,0.87272,0.80239,0.89788,0.68494,0.9201,0.63296,1.1932,0.00298877,0.00298877,0.00298877
46,29457.3,0.99592,0.75735,1.25142,0.89847,0.82543,0.91568,0.70588,0.8814,0.58165,1.16848,0.00291218,0.00291218,0.00291218
47,30104.3,0.98099,0.74574,1.24687,0.89192,0.82277,0.91458,0.70416,0.88171,0.58926,1.17243,0.0028352,0.0028352,0.0028352
48,30750.9,0.98698,0.74743,1.24689,0.88346,0.83633,0.92083,0.70861,0.87252,0.5809,1.17173,0.00275792,0.00275792,0.00275792
49,31399.1,0.98426,0.7427,1.24627,0.90042,0.83053,0.92364,0.71141,0.88195,0.56957,1.17225,0.00268041,0.00268041,0.00268041
50,32051.3,0.98352,0.73979,1.24319,0.90041,0.82923,0.9197,0.71318,0.87302,0.57186,1.16746,0.00260274,0.00260274,0.00260274
51,32703.9,0.96408,0.72189,1.22848,0.90044,0.83152,0.91627,0.71082,0.86793,0.57289,1.15889,0.002525,0.002525,0.002525
52,33350.3,0.9658,0.72453,1.2312,0.88192,0.86206,0.9286,0.72164,0.8666,0.55563,1.15565,0.00244726,0.00244726,0.00244726
53,33982.3,0.95957,0.71927,1.22523,0.90636,0.83739,0.92548,0.7195,0.86231,0.56088,1.15483,0.00236959,0.00236959,0.00236959
54,34647.5,0.95862,0.71316,1.2234,0.89934,0.84315,0.92546,0.71759,0.87072,0.55213,1.16041,0.00229208,0.00229208,0.00229208
55,35313.5,0.95628,0.71311,1.21914,0.89728,0.84404,0.92195,0.71899,0.85929,0.55631,1.15462,0.0022148,0.0022148,0.0022148
56,35967.1,0.946,0.70566,1.21724,0.89984,0.8439,0.92528,0.72253,0.85494,0.55755,1.15019,0.00213782,0.00213782,0.00213782
57,36594.3,0.95254,0.70598,1.2177,0.90945,0.83341,0.92211,0.72061,0.854,0.55135,1.14936,0.00206123,0.00206123,0.00206123
58,37255.2,0.93854,0.69655,1.20854,0.90929,0.85273,0.92907,0.72734,0.84405,0.53261,1.14031,0.0019851,0.0019851,0.0019851
59,37880.3,0.9466,0.69878,1.21308,0.90033,0.8529,0.92856,0.72451,0.84842,0.54336,1.14558,0.00190949,0.00190949,0.00190949
60,38543.6,0.93583,0.69064,1.20867,0.91379,0.83141,0.92454,0.72435,0.84919,0.55413,1.14771,0.0018345,0.0018345,0.0018345
61,39190.8,0.92945,0.68717,1.20427,0.91198,0.84537,0.92818,0.72973,0.8401,0.54001,1.13376,0.00176018,0.00176018,0.00176018
62,39835.4,0.93059,0.68122,1.20619,0.91502,0.84404,0.93076,0.73115,0.83565,0.52896,1.13532,0.00168662,0.00168662,0.00168662
63,40474.8,0.92728,0.67727,1.20183,0.90337,0.8549,0.92768,0.72806,0.84273,0.53459,1.13926,0.00161389,0.00161389,0.00161389
64,41123.2,0.91341,0.66594,1.19073,0.90679,0.84559,0.92844,0.72706,0.84137,0.53536,1.13975,0.00154206,0.00154206,0.00154206
65,41772.8,0.91759,0.67165,1.19429,0.91451,0.84842,0.93141,0.73128,0.83556,0.52802,1.13648,0.0014712,0.0014712,0.0014712
66,42411.7,0.90711,0.66135,1.18944,0.89678,0.86802,0.93303,0.73533,0.82662,0.51964,1.12952,0.00140137,0.00140137,0.00140137
67,43074.3,0.90841,0.6583,1.1926,0.90826,0.85757,0.93409,0.73631,0.82561,0.51562,1.12926,0.00133266,0.00133266,0.00133266
68,43721.7,0.90042,0.65482,1.18567,0.90589,0.86309,0.93424,0.73817,0.82542,0.51867,1.12926,0.00126512,0.00126512,0.00126512
69,44366.5,0.89737,0.64825,1.18234,0.91655,0.85423,0.93534,0.7372,0.82439,0.51297,1.12828,0.00119883,0.00119883,0.00119883
70,45033.5,0.89159,0.64903,1.1786,0.91965,0.85401,0.93357,0.73964,0.82262,0.51362,1.12854,0.00113384,0.00113384,0.00113384
71,45701.8,0.89178,0.64999,1.18046,0.91724,0.8593,0.93296,0.73811,0.82027,0.50876,1.12634,0.00107023,0.00107023,0.00107023
72,46357.5,0.88592,0.63953,1.17648,0.90713,0.86776,0.93335,0.73747,0.82159,0.51223,1.12593,0.00100806,0.00100806,0.00100806
73,47019.8,0.88814,0.6455,1.17975,0.91786,0.86221,0.93593,0.74142,0.81901,0.50733,1.124,0.000947376,0.000947376,0.000947376
74,47672.2,0.88601,0.64085,1.17643,0.90421,0.86642,0.93401,0.7398,0.81697,0.51277,1.12232,0.000888253,0.000888253,0.000888253
75,48325.8,0.8839,0.6379,1.17638,0.91514,0.86154,0.93437,0.74081,0.81585,0.51006,1.12174,0.000830746,0.000830746,0.000830746
76,48970.8,0.88353,0.64017,1.17194,0.91253,0.86043,0.93389,0.738,0.81722,0.51357,1.12291,0.000774911,0.000774911,0.000774911
77,49631,0.87632,0.63075,1.16657,0.91408,0.86486,0.9361,0.74255,0.81194,0.50443,1.11596,0.000720803,0.000720803,0.000720803
78,50279.5,0.87452,0.62783,1.16834,0.90419,0.87151,0.93456,0.74269,0.8128,0.50781,1.1162,0.000668475,0.000668475,0.000668475
79,50924.3,0.87257,0.62251,1.16428,0.91475,0.86526,0.93467,0.74296,0.81054,0.50543,1.11656,0.00061798,0.00061798,0.00061798
80,51586.7,0.86935,0.62377,1.16215,0.916,0.86482,0.93556,0.74425,0.80797,0.50301,1.1146,0.000569366,0.000569366,0.000569366
81,52221.7,0.86482,0.61956,1.16209,0.91698,0.87085,0.93691,0.74465,0.80796,0.50119,1.11505,0.000522683,0.000522683,0.000522683
82,52865.1,0.86399,0.62217,1.16012,0.92042,0.86243,0.93531,0.745,0.80743,0.50269,1.11393,0.000477976,0.000477976,0.000477976
83,53499.7,0.85713,0.61303,1.15701,0.91502,0.86797,0.93537,0.7443,0.80881,0.50396,1.1156,0.000435288,0.000435288,0.000435288
84,54166,0.86197,0.61804,1.161,0.91504,0.87084,0.9365,0.74496,0.8074,0.50052,1.11548,0.000394663,0.000394663,0.000394663
85,54833.4,0.85852,0.61165,1.15629,0.91653,0.87083,0.93618,0.74504,0.80832,0.5018,1.11515,0.000356141,0.000356141,0.000356141
86,55496.4,0.85235,0.61094,1.1541,0.92127,0.86531,0.93635,0.74526,0.8062,0.50142,1.11461,0.000319759,0.000319759,0.000319759
87,56148.8,0.85619,0.60847,1.15428,0.91706,0.86951,0.9361,0.74511,0.8057,0.50124,1.1136,0.000285553,0.000285553,0.000285553
88,56814.4,0.85538,0.61357,1.15643,0.91814,0.86721,0.93623,0.74502,0.80523,0.50008,1.11284,0.000253557,0.000253557,0.000253557
89,57474,0.85275,0.60526,1.15192,0.92241,0.86648,0.93644,0.74567,0.80496,0.50051,1.11187,0.000223803,0.000223803,0.000223803
90,58122.4,0.84644,0.60372,1.15127,0.92232,0.8654,0.93633,0.74641,0.8038,0.49884,1.11132,0.00019632,0.00019632,0.00019632
91,58763.7,0.77256,0.47508,1.08517,0.91524,0.87129,0.93521,0.74464,0.80576,0.49881,1.11687,0.000171135,0.000171135,0.000171135
92,59398.5,0.73955,0.43786,1.06368,0.90525,0.87408,0.93375,0.7428,0.80924,0.5017,1.12164,0.000148273,0.000148273,0.000148273
93,60050.3,0.7361,0.43372,1.06294,0.90888,0.87062,0.934,0.74235,0.80938,0.5026,1.12242,0.000127757,0.000127757,0.000127757
94,60692.1,0.72989,0.42923,1.05784,0.90877,0.87173,0.93451,0.74297,0.80885,0.50233,1.12253,0.000109606,0.000109606,0.000109606
95,61327.3,0.72615,0.42578,1.05594,0.90888,0.87061,0.93471,0.74316,0.8088,0.50299,1.12271,9.38391e-05,9.38391e-05,9.38391e-05
96,61954,0.72198,0.42331,1.05464,0.90737,0.87015,0.93472,0.74347,0.80795,0.50313,1.12154,8.04714e-05,8.04714e-05,8.04714e-05
97,62584.1,0.72576,0.42704,1.05449,0.9109,0.86841,0.93462,0.74369,0.80704,0.50302,1.12077,6.95161e-05,6.95161e-05,6.95161e-05
98,63180,0.72167,0.4229,1.04898,0.91206,0.8685,0.93482,0.74421,0.80686,0.50339,1.12066,6.09841e-05,6.09841e-05,6.09841e-05
99,63794,0.72228,0.42192,1.04894,0.91843,0.86551,0.93494,0.74429,0.80679,0.50374,1.12084,5.48838e-05,5.48838e-05,5.48838e-05
100,64408.2,0.72155,0.4236,1.05339,0.91866,0.86686,0.93477,0.74407,0.80635,0.50334,1.1206,5.12213e-05,5.12213e-05,5.12213e-05
